idCliente;nome;telemovel;email
1;Vitor Santos;910000001;vitor.santos@gmail.com
2;Luis Camoes;910000002;lusiadas@gmail.com
3;Quim Barreiros;910000003;mestre.culinaria@gmail.com
4;Vasco da Gama;910000004;around.the.world@gmail.com
5;Cristiano Ronaldo;910000005;cr7@gmail.com
6;Connor McGregor;910000006;notorious@gmail.com
7;James Bond;910000007;007@mi6.com
8;Ana Santos;910000008;ana.santos@gmail.com
9;J. R. R. Tolkien;910000009;lord.of.the.rings@myprecious.com
10;Lewis Hamilton;910000010;2fast2u@mercedes.com
11;Max Verstappen;910000011;gives.u.wings@redbull.com
12;Mike Tyson;910000012;iron.mike@gmail.com
13;Freddie Mercury;910000013;bohemian.rapsody@gmail.com
14;Elon Musk;910000014;elon.musk@tesla.com
15;Dwayne Johnson;910000015;the.rock@gmail.com
16;Afonso Henriques;910000016;rei.disto.tudo@mail.pt
17;Manuel Costa;910000017;tio.manel@gmail.com
18;Anita Larissa;912999888;funk@music.br
19;Sir Francis Drake;910000019;treasure.hunter@gmail.com
20;Ragnar Lothbrok;910000020;viking@gmail.com
21;Fernando Pessoa;910000021;alvaro.de.campos@gmail.com
22;Amalia Rodrigues;910000022;fado@gmail.com
23;Clint Eastwood;910000023;western@gmail.com
24;Chuck Norris;910000024;indestructible@gmail.com
25;Albert Einstein;910000025;mc2@gmail.com
26;Vin Diesel;910000026;fast.furious@gmail.com
27;Siza Vieira;910000027;arquitetura@gmail.com
28;Bill Gates;910000028;billie@microsoft.com
29;Neymar Junior;910000029;neymar@gmail.com
30;Robert Downey Jr.;910000030;ironman@gmail.com
31;Tiger Woods;910000031;golf.cart.driver@gmail.com
32;Mark Zuckerberg;910000032;not.a.lizard@facebook.com
33;Michael Jackson;910000033;eeh.eeh@gmail.com
34;Julius Ceasar;910000034;rome.is.mine@gmail.com
35;John Lennon;910000035;imagine@gmail.com
36;J. K. Rowling;910000036;harry.potter@gmail.com
37;Joaquim Alberto;910000037;sirene.bombeiros@gmail.com
38;Gordon Ramsay;910000038;hells.kitchen@fword.com
39;Ricardo Fazeres;910000039;riczao@gmail.com
40;Ed Sheeran;910000040;shape.of.you@gmail.com
41;Bruno Mars;910000041;lazy@gmail.com
42;Anderson Silva;910000043;the.spider@gmail.com
43;Muhammad Ali;910000044;the.greatest@gmail.com
44;Napoleao Bonaparte;910000045;tall.guy@gmail.com
45;William Shakespeare;910000046;romeu.julieta@gmail.com
46;Jon Snow;910000047;nightwatch@gmail.com
47;Hermione Granger;910000048;hermione.granger@gmail.com
48;Daenerys Targaryen;910000049;danny@gmail.com
49;Henry Cavill;910000050;superman@gmail.com
50;Sylvester Stallone;910000051;rambo@gmail.com
51;Arnold Schwarzenegger;910000052;terminator@gmail.com
52;Bruce Wayne;910000053;batman@gmail.com
53;Hannibal Lecter;910000054;hannibal@gmail.com
54;Homer Simpson;910000055;homer@gmail.com
55;Sherlock Holmes;910000056;mrholmes@gmail.com
56;Darth Vader;910000057;darkside@gmail.com
57;Luke Skywalker;910000058;vaderson@gmail.com
58;Peter Parker;910000059;spiderman@gmail.com
59;Gandalf The Grey;910000060;wizard@gmail.com
60;Lara Croft;912333444;croft@gmail.com
61;Marilyn Monroe;910000061;blonde.bombshell@gmail.com
62;Leonardo Da Vinci;910000062;renaissance.man@gmail.com
63;Ada Lovelace;910000063;first.programmer@gmail.com
64;Steve Jobs;910000064;apple.innovator@gmail.com
65;Galileo Galilei;910000065;starry.messenger@gmail.com
66;Neil Armstrong;910000066;moon.walker@gmail.com
67;Charlie Chaplin;910000067;silent.film.star@gmail.com
68;Marie Curie;910000068;radium@gmail.com
69;Sigmund Freud;910000069;dream.analyst@gmail.com
70;Alexander Hamilton;910000070;founding.father@gmail.com
71;Bruce Lee;910000071;martial.arts.master@gmail.com
72;Margaret Thatcher;910000072;iron.lady@gmail.com
73;Winston Churchill;910000073;vforvictory@gmail.com
74;Michael Phelps;910000074;olympic.swimmer@gmail.com
75;Usain Bolt;910000075;fastest.man@gmail.com
76;Serena Williams;910000076;tennis.queen@gmail.com
77;Leonardo DiCaprio;910000077;titanic.star@gmail.com
78;Tom Hanks;910000078;forrest.gump@gmail.com
79;Stephen Hawking;910000079;black.holes@gmail.com
80;Mozart;910000080;classical.genius@gmail.com
81;Zezé Camarinha;910000081;macho.man.pt@gmail.com
82;Quim Roscas;910000082;standup.pt@gmail.com
83;Tino de Rans;910000083;presidente.rans@gmail.com
84;Fernando Rocha;910000085;piadas.rocha@gmail.com
85;Ruth Marlene;910000086;pimba.star@gmail.com
86;Toy;910000087;estupidamente.apaixonado@gmail.com
87;Nilton;910000094;telefonemas.nilton@gmail.com
88;Jorge Jesus;910000088;treinador.mister@gmail.com
89;Maria Leal;910000095;hits.verao@gmail.com
90;Bruno Aleixo;910000096;conselheiro.aleixo@gmail.com
